t,q,tau
0.532,-1.149224263,67.04395362
0.536,-1.151370125,67.1525193
0.54,-1.15350081,67.25998816
0.544,-1.155616357,67.36636856
0.548,-1.157716805,67.47166883
0.552,-1.159802196,67.57589733
0.556,-1.161872573,67.67906259
0.56,-1.163927982,67.78117312
0.564,-1.16596847,67.88223744
0.568,-1.167994085,67.98226427
0.572,-1.170004877,68.08126239
0.576,-1.172000896,68.1792406
0.58,-1.173982195,68.27620787
0.584,-1.175948828,68.37217291
0.588,-1.177900848,68.46714481
0.592,-1.179838312,68.56113233
0.596,-1.181761276,68.65414447
0.6,-1.183669799,68.74619003
0.604,-1.185563938,68.83727775
0.608,-1.187443756,68.9274165
0.612,-1.189309311,69.01661477
0.616,-1.191160666,69.10488119
0.62,-1.192997884,69.19222429
0.624,-1.194821028,69.27865239
0.628,-1.196630164,69.36417404
0.632,-1.198425356,69.44879737
0.636,-1.200206671,69.53253068
0.64,-1.201974176,69.61538235
0.644,-1.203727938,69.69736038
0.648,-1.205468026,69.77847309
0.652,-1.207194508,69.85872862
0.656,-1.208907454,69.93813503
0.66,-1.210606933,70.01670062
0.664,-1.212293017,70.09443329
0.668,-1.213965776,70.17134147
0.672,-1.215625281,70.24743289
0.676,-1.217271604,70.32271577
0.68,-1.218904817,70.39719815
0.684,-1.220524993,70.47088789
0.688,-1.222132203,70.54379293
0.692,-1.223726522,70.61592115
0.696,-1.225308022,70.68728026
0.7,-1.226876776,70.757878
0.704,-1.22843286,70.82772205
0.708,-1.229976346,70.89681996
0.712,-1.231507309,70.9651792
0.716,-1.233025823,71.03280727
0.72,-1.234531964,71.09971159
0.724,-1.236025806,71.16589937
0.728,-1.237507424,71.23137787
0.732,-1.238976893,71.29616564
0.736,-1.240434288,71.36025065
0.74,-1.241879686,71.42362416
0.744,-1.243313161,71.48632074
0.748,-1.244734788,71.54834888
0.752,-1.246144644,71.60971556
0.756,-1.247542803,71.67042762
0.76,-1.248929341,71.73049552
0.764,-1.250304332,71.78993553
0.768,-1.251667852,71.84872779
0.772,-1.253019978,71.90687226
0.776,-1.254360784,71.96438926
0.78,-1.255690345,72.02128606
0.784,-1.257008738,72.07756943
0.788,-1.258316036,72.13324613
0.792,-1.259612314,72.18832278
0.796,-1.260897648,72.24280592
0.8,-1.262172111,72.29670203
0.804,-1.26343578,72.35001743
0.808,-1.264688727,72.40275816
0.812,-1.265931027,72.45493041
0.816,-1.267162754,72.50654011
0.82,-1.268383983,72.55759312
0.824,-1.269594787,72.60809538
0.828,-1.27079524,72.65805278
0.832,-1.271985415,72.70747099
0.836,-1.273165386,72.75635599
0.84,-1.274335225,72.80471339
0.844,-1.275495005,72.85254898
0.848,-1.276644799,72.89986841
0.852,-1.277784679,72.94667733
0.856,-1.278914718,72.99298122
0.86,-1.280034986,73.03878563
0.864,-1.281145556,73.08409581
0.868,-1.282246499,73.12891735
0.872,-1.283337886,73.17325539
0.876,-1.284419788,73.21711526
0.88,-1.285492274,73.2605021
0.884,-1.286555417,73.30342108
0.888,-1.287609285,73.34587734
0.892,-1.288653948,73.38787591
0.896,-1.289689476,73.42942176
0.9,-1.290715938,73.47051981
0.904,-1.291733402,73.51117498
0.908,-1.292741937,73.5513922
0.912,-1.293741611,73.59117612
0.916,-1.294732492,73.63053158
0.92,-1.295714648,73.66946324
0.924,-1.296688146,73.70797577
0.928,-1.297653053,73.74607372
0.932,-1.298609435,73.78376165
0.936,-1.299557359,73.8210441
0.94,-1.300496891,73.85792552
0.944,-1.301428096,73.89441028
0.948,-1.30235104,73.93050278
0.952,-1.303265787,73.96620735
0.956,-1.304172403,74.00152829
0.96,-1.305070951,74.03646976
0.964,-1.305961495,74.07103602
0.968,-1.306844099,74.10523122
0.972,-1.307718827,74.13905935
0.976,-1.30858574,74.17252455
0.98,-1.309444903,74.20563082
0.984,-1.310296376,74.23838204
0.988,-1.311140222,74.27078229
0.992,-1.311976502,74.30283532
0.996,-1.312805277,74.33454495
1,-1.313626609,74.36591505
1.004,-1.314440557,74.39694935
1.008,-1.315247181,74.42765154
1.012,-1.316046542,74.45802531
1.016,-1.316838699,74.48807435
1.02,-1.31762371,74.51780209
1.024,-1.318401635,74.54721226
1.028,-1.319172531,74.57630827
1.032,-1.319936457,74.60509361
1.036,-1.32069347,74.63357173
1.04,-1.321443627,74.66174607
1.044,-1.322186985,74.68961994
1.048,-1.322923601,74.71719675
1.052,-1.323653531,74.74447961
1.056,-1.32437683,74.77147195
1.06,-1.325093554,74.79817699
1.064,-1.325803758,74.82459783
1.068,-1.326507497,74.85073758
1.072,-1.327204825,74.87659946
1.076,-1.327895795,74.90218649
1.08,-1.328580462,74.92750173
1.084,-1.329258878,74.9525482
1.088,-1.329931098,74.9773288
1.092,-1.330597172,75.0018465
1.096,-1.331257154,75.0261043
1.1,-1.331911094,75.050105
1.104,-1.332559046,75.07385142
1.108,-1.333201059,75.09734641
1.112,-1.333837184,75.12059278
1.116,-1.334467472,75.14359321
1.12,-1.335091973,75.16635046
1.124,-1.335710737,75.18886722
1.128,-1.336323813,75.2111461
1.132,-1.336931249,75.23318978
1.136,-1.337533095,75.25500084
1.14,-1.338129399,75.27658195
1.144,-1.338720209,75.29793552
1.148,-1.339305572,75.31906408
1.152,-1.339885536,75.33997014
1.156,-1.340460147,75.36065617
1.16,-1.341029452,75.38112459
1.164,-1.341593498,75.40137774
1.168,-1.34215233,75.42141805
1.172,-1.342705994,75.44124792
1.176,-1.343254535,75.46086961
1.18,-1.343797998,75.4802854
1.184,-1.344336427,75.49949759
1.188,-1.344869867,75.51850842
1.192,-1.345398361,75.53732006
1.196,-1.345921954,75.55593477
1.2,-1.346440688,75.57435469
1.204,-1.346954606,75.59258201
1.208,-1.347463751,75.61061871
1.212,-1.347968165,75.62846702
1.216,-1.34846789,75.64612902
1.22,-1.348962968,75.66360664
1.224,-1.349453439,75.68090197
1.228,-1.349939346,75.69801707
1.232,-1.350420727,75.71495384
1.236,-1.350897625,75.73171425
1.24,-1.351370078,75.7483003
1.244,-1.351838127,75.7647138
1.248,-1.35230181,75.78095673
1.252,-1.352761168,75.79703094
1.256,-1.353216238,75.8129382
1.26,-1.353667059,75.82868041
1.264,-1.35411367,75.84425934
1.268,-1.354556108,75.85967689
1.272,-1.354994411,75.87493466
1.276,-1.355428615,75.89003451
1.28,-1.355858759,75.90497812
1.284,-1.356284878,75.91976722
1.288,-1.356707009,75.93440345
1.292,-1.357125188,75.94888856
1.296,-1.357539451,75.96322416
1.3,-1.357949834,75.97741192
1.304,-1.35835637,75.99145335
1.308,-1.358759097,76.00535008
1.312,-1.359158047,76.01910375
1.316,-1.359553255,76.03271585
1.32,-1.359944756,76.046188
1.324,-1.360332584,76.05952168
1.328,-1.360716771,76.07271836
1.332,-1.361097351,76.08577957
1.336,-1.361474357,76.09870677
1.34,-1.361847821,76.11150142
1.344,-1.362217777,76.12416498
1.348,-1.362584256,76.13669881
1.352,-1.362947289,76.14910435
1.356,-1.36330691,76.16138309
1.36,-1.363663148,76.17353625
1.364,-1.364016035,76.18556526
1.368,-1.364365602,76.19747148
1.372,-1.36471188,76.20925624
1.376,-1.365054898,76.22092081
1.38,-1.365394687,76.23246649
1.384,-1.365731277,76.24389466
1.388,-1.366064696,76.25520648
1.392,-1.366394975,76.26640327
1.396,-1.366722143,76.27748624
1.4,-1.367046227,76.28845662
1.404,-1.367367257,76.2993156
1.408,-1.367685262,76.31006447
1.412,-1.368000268,76.32070438
1.416,-1.368312304,76.33123643
1.42,-1.368621398,76.34166188
1.424,-1.368927576,76.35198177
1.428,-1.369230867,76.36219742
1.432,-1.369531296,76.37230973
1.436,-1.36982889,76.38231991
1.44,-1.370123676,76.39222915
1.444,-1.37041568,76.40203836
1.448,-1.370704928,76.41174869
1.452,-1.370991446,76.42136124
1.456,-1.371275259,76.430877
1.46,-1.371556392,76.44029699
1.464,-1.37183487,76.44962235
1.468,-1.372110719,76.45885401
1.472,-1.372383962,76.46799296
1.476,-1.372654625,76.47704023
1.48,-1.372922732,76.48599676
1.484,-1.373188305,76.4948636
1.488,-1.37345137,76.50364159
1.492,-1.373711949,76.51233173
1.496,-1.373970067,76.52093501
1.5,-1.374225746,76.5294523
1.504,-1.374479008,76.53788451
1.508,-1.374729878,76.5462326
1.512,-1.374978377,76.55449738
1.516,-1.375224527,76.56267975
1.52,-1.375468352,76.57078074
1.524,-1.375709872,76.57880101
1.528,-1.375949109,76.58674152
1.532,-1.376186085,76.59460311
1.536,-1.376420822,76.60238657
1.54,-1.376653339,76.61009277
1.544,-1.37688366,76.61772259
1.548,-1.377111803,76.62527671
1.552,-1.37733779,76.63275602
1.556,-1.377561641,76.64016126
1.56,-1.377783377,76.64749329
1.564,-1.378003016,76.65475278
1.568,-1.37822058,76.66194056
1.572,-1.378436088,76.66905741
1.576,-1.378649559,76.67610398
1.58,-1.378861012,76.68308115
1.584,-1.379070468,76.68998955
1.588,-1.379277944,76.6968299
1.592,-1.379483459,76.70360294
1.596,-1.379687033,76.71030944
1.6,-1.379888683,76.71695005
1.604,-1.380088428,76.72352544
1.608,-1.380286286,76.73003627
1.612,-1.380482275,76.73648329
1.616,-1.380676412,76.74286721
1.62,-1.380868716,76.7491885
1.624,-1.381059204,76.755448
1.628,-1.381247892,76.76164626
1.632,-1.381434798,76.76778404
1.636,-1.38161994,76.77386182
1.64,-1.381803334,76.77988027
1.644,-1.381984996,76.78584013
1.648,-1.382164943,76.79174187
1.652,-1.382343192,76.79758618
1.656,-1.382519758,76.80337356
1.66,-1.382694658,76.80910471
1.664,-1.382867908,76.81478017
1.668,-1.383039523,76.8204005
1.672,-1.383209518,76.82596636
1.676,-1.383377911,76.83147826
1.68,-1.383544715,76.83693671
1.684,-1.383709946,76.84234232
1.688,-1.383873619,76.84769562
1.692,-1.384035749,76.85299717
1.696,-1.38419635,76.85824748
1.7,-1.384355438,76.86344717
1.704,-1.384513027,76.8685966
1.708,-1.38466913,76.87369644
1.712,-1.384823763,76.87874712
1.716,-1.384976939,76.88374916
1.72,-1.385128673,76.8887031
1.724,-1.385278977,76.89360942
1.728,-1.385427867,76.89846863
1.732,-1.385575354,76.90328117
1.736,-1.385721454,76.9080475
1.74,-1.385866179,76.91276815
1.744,-1.386009542,76.91744363
1.748,-1.386151556,76.92207434
1.752,-1.386292234,76.92666073
1.756,-1.38643159,76.93120328
1.76,-1.386569635,76.93570247
1.764,-1.386706383,76.94015869
1.768,-1.386841846,76.94457242
1.772,-1.386976035,76.94894404
1.776,-1.387108964,76.95327405
1.78,-1.387240644,76.95756282
1.784,-1.387371088,76.96181079
1.788,-1.387500307,76.9660184
1.792,-1.387628313,76.97018607
1.796,-1.387755117,76.97431417
1.8,-1.387880732,76.9784031
1.804,-1.388005169,76.98245334
1.808,-1.388128438,76.98646512
1.812,-1.388250551,76.990439
1.816,-1.38837152,76.99437525
1.82,-1.388491355,76.99827438
1.824,-1.388610067,77.00213664
1.828,-1.388727667,77.00596241
1.832,-1.388844166,77.00975213
1.836,-1.388959574,77.01350613
1.84,-1.389073901,77.01722478
1.844,-1.389187159,77.02090843
1.848,-1.389299356,77.02455747
1.852,-1.389410505,77.02817223
1.856,-1.389520613,77.03175299
1.86,-1.389629693,77.03530024
1.864,-1.389737753,77.0388142
1.868,-1.389844803,77.04229518
1.872,-1.389950853,77.0457436
1.876,-1.390055913,77.04915974
1.88,-1.390159991,77.05254395
1.884,-1.390263098,77.05589625
1.888,-1.390365243,77.05921674
1.892,-1.390466436,77.06250661
1.896,-1.390566684,77.06576648
1.9,-1.390665998,77.06899649
1.904,-1.390764385,77.07219706
1.908,-1.390861856,77.07536845
1.912,-1.390958419,77.07851093
1.916,-1.391054083,77.08162484
1.92,-1.391148855,77.08471037
1.924,-1.391242745,77.08776776
1.928,-1.391335762,77.09079733
1.932,-1.391427913,77.09379927
1.936,-1.391519207,77.09677396
1.94,-1.391609651,77.09972146
1.944,-1.391699255,77.10264212
1.948,-1.391788026,77.10553616
1.952,-1.391875972,77.10840381
1.956,-1.391963101,77.1112454
1.96,-1.39204942,77.11406105
1.964,-1.392134938,77.11685113
1.968,-1.392219662,77.11961581
1.972,-1.3923036,77.12235533
1.976,-1.392386759,77.12506992
1.98,-1.392469146,77.12775977
1.984,-1.392550769,77.13042526
1.988,-1.392631635,77.1330664
1.992,-1.392711751,77.13568354
1.996,-1.392791125,77.13827691
2,-1.392869763,77.14084668
2.004,-1.392947672,77.14339306
2.008,-1.39302486,77.14591623
2.012,-1.393101333,77.14841655
2.016,-1.393177098,77.15089409
2.02,-1.393252162,77.15334913
2.024,-1.393326531,77.15578186
2.028,-1.393400212,77.15819249
2.032,-1.393473211,77.1605812
2.036,-1.393545535,77.16294816
2.04,-1.39361719,77.16529369
2.044,-1.393688182,77.16761786
2.048,-1.393758519,77.16992091
2.052,-1.393828205,77.17220304
2.056,-1.393897248,77.17446449
2.06,-1.393965653,77.17670537
2.064,-1.394033425,77.17892587
2.068,-1.394100572,77.18112623
2.072,-1.3941671,77.18330658
2.076,-1.394233013,77.18546714
2.08,-1.394298317,77.1876081
2.084,-1.394363019,77.18972963
2.088,-1.394427125,77.19183188
2.092,-1.394490638,77.19391505
2.096,-1.394553566,77.19597932
2.1,-1.394615914,77.19802481
2.104,-1.394677687,77.20005176
2.108,-1.394738891,77.20206032
2.112,-1.394799531,77.20405062
2.116,-1.394859612,77.20602291
2.12,-1.394919139,77.20797723
2.124,-1.394978118,77.2099139
2.128,-1.395036554,77.21183296
2.132,-1.395094452,77.21373458
2.136,-1.395151817,77.21561899
2.14,-1.395208654,77.21748624
2.144,-1.395264967,77.21933656
2.148,-1.395320763,77.22117013
2.152,-1.395376045,77.22298702
2.156,-1.395430819,77.22478747
2.16,-1.395485089,77.22657152
2.164,-1.39553886,77.22833944
2.168,-1.395592136,77.23009128
2.172,-1.395644923,77.23182729
2.176,-1.395697224,77.23354745
2.18,-1.395749045,77.23525209
2.184,-1.39580039,77.23694123
2.188,-1.395851263,77.23861508
2.192,-1.395901668,77.24027374
2.196,-1.395951611,77.24191735
2.2,-1.396001095,77.24354605
2.204,-1.396050124,77.24515994
2.208,-1.396098704,77.24675923
2.212,-1.396146837,77.24834397
2.216,-1.396194529,77.24991436
2.22,-1.396241783,77.25147055
2.224,-1.396288603,77.25301257
2.228,-1.396334994,77.25454061
2.232,-1.396380959,77.2560548
2.236,-1.396426503,77.25755527
2.24,-1.396471629,77.25904213
2.244,-1.396516341,77.26051547
2.248,-1.39731663,1.66060389
2.252,-1.398371567,1.657298131
2.256,-1.399031209,1.630738206
2.26,-1.399283865,1.612490192
2.264,-1.399233231,1.601126915
2.268,-1.399164254,1.5893233
2.272,-1.399169836,1.65563943
2.276,-1.399221022,3.629786891
2.28,-1.39928067,5.800602238
2.284,-1.399343608,7.767975602
2.288,-1.399414605,9.854967374
2.292,-1.399493214,12.34712556
2.296,-1.399579017,14.95870347
2.3,-1.39967498,17.54491655
2.304,-1.399784224,20.04396344
2.308,-1.399908009,22.45045141
2.312,-1.400045591,24.84200663
2.316,-1.400195061,27.26081001
2.32,-1.400354917,29.57809856
2.324,-1.400524636,31.84498642
2.328,-1.400704183,34.11316645
2.332,-1.400893252,36.36122734
2.336,-1.40109129,38.56063654
2.34,-1.401297667,40.73822602
2.344,-1.401511721,42.8992034
2.348,-1.401732759,45.04549042
2.352,-1.401959996,47.15761036
2.356,-1.402192645,49.25547326
2.36,-1.402429857,51.3434826
2.364,-1.402670641,53.41226593
2.368,-1.402913979,55.45895257
2.372,-1.403158964,57.48518202
2.376,-1.403404922,59.44122466
2.38,-1.403651318,61.38704245
2.384,-1.403897726,63.32427044
2.388,-1.404143753,65.25280561
2.392,-1.404388979,67.17241131
2.396,-1.404632943,69.08345658
2.4,-1.404875148,70.98659722
2.404,-1.405115033,72.88441207
2.408,-1.40535206,74.77598737
2.412,-1.405585782,76.66069348
2.416,-1.40581579,78.53885812
2.42,-1.406041675,80.41049659
2.424,-1.40626305,82.27543396
2.428,-1.406479568,84.13330278
2.432,-1.406690922,85.98359022
2.436,-1.406896761,87.82881233
2.44,-1.407096809,89.66545552
2.444,-1.407290841,91.49643283
2.448,-1.407478637,93.3183673
2.452,-1.407660025,95.12691946
2.456,-1.407834813,96.92281826
2.46,-1.408002738,98.70720569
2.464,-1.408163497,100.481591
2.468,-1.408316782,102.2475844
2.472,-1.40846231,104.0067488
2.476,-1.40859975,105.7661488
2.48,-1.408728866,107.5303859
2.484,-1.408849602,109.3169508
2.488,-1.408961897,111.0983011
2.492,-1.409065632,112.8727573
2.496,-1.408744155,150.1767848
2.5,-1.408467915,144.2671938
2.504,-1.408724501,141.3150391
2.508,-1.409321914,141.6385586
2.512,-1.41009042,141.700252
2.516,-1.411023627,130.4961713
2.52,-1.41255897,113.3051763
2.524,-1.414818406,110.9902487
2.528,-1.417512865,110.9335658
2.532,-1.420368933,111.7591879
2.536,-1.423238949,114.138541
2.54,-1.42605633,120.2797933
2.544,-1.428793408,127.7776688
2.548,-1.431445345,135.5975987
2.552,-1.43400507,143.482141
2.556,-1.436482761,151.2351382
2.56,-1.438927138,158.7393278
2.564,-1.441416389,165.8890033
2.568,-1.444021939,172.5945149
2.572,-1.446765748,178.9026381
2.576,-1.449364989,208.4627959
2.58,-1.451523519,236.6753077
2.584,-1.453262055,260.7466609
2.588,-1.454674611,278.9121193
2.592,-1.455740217,289.6930631
2.596,-1.45629638,291.890824
2.6,-1.456138093,285.4621627
2.604,-1.455098211,270.8700427
2.608,-1.45300311,254.7891768
2.612,-1.449709111,237.1503679
2.616,-1.445920455,214.6231058
2.62,-1.444716733,191.8192861
2.624,-1.446036845,184.6558808
2.628,-1.4498004,183.3054418
2.632,-1.453830388,182.9328628
2.636,-1.456674652,183.1706343
2.64,-1.458340413,183.0711854
2.644,-1.459386652,182.8148649
2.648,-1.460250055,182.6426262
2.652,-1.461017704,182.0709842
2.656,-1.46152976,179.5086352
2.66,-1.461607714,175.1992482
2.664,-1.461187859,174.2056284
2.668,-1.460310002,174.5825187
2.672,-1.459061154,174.2317815
2.676,-1.457505562,173.508511
2.68,-1.455653399,172.4277785
2.684,-1.453484713,170.9727646
2.688,-1.450993726,166.7989371
2.692,-1.448167979,163.1527198
2.696,-1.44495355,161.3625263
2.7,-1.441270652,160.2219272
2.704,-1.437026389,159.7739256
2.708,-1.432104033,161.3343642
2.712,-1.426361973,164.9209565
2.716,-1.41965854,169.0843565
2.72,-1.41258918,173.6764587
2.724,-1.410377411,177.8653046
2.728,-1.414333238,180.5387371
2.732,-1.421801393,173.4238855
2.736,-1.428434081,165.1859427
2.74,-1.432551344,160.485066
2.744,-1.43415727,157.8977843
2.748,-1.433958022,157.0338479
2.752,-1.433754563,156.8602084
2.756,-1.434619611,157.0004889
2.76,-1.436090012,155.6360971
2.764,-1.437485205,154.4772631
2.768,-1.438369083,152.9639551
2.772,-1.438588869,151.5431271
2.776,-1.438158258,150.5469325
2.78,-1.437164261,149.9428665
2.784,-1.435722853,149.134244
2.788,-1.434094329,148.1088469
2.792,-1.4327035,147.3031536
2.796,-1.43179199,144.8169654
2.8,-1.431469129,139.9658851
2.804,-1.431872836,137.4432036
2.808,-1.43252577,157.8755569
2.812,-1.432814301,154.3155358
2.816,-1.432865917,148.7968393
2.82,-1.432987164,144.2747212
2.824,-1.433264132,141.8084036
2.828,-1.433620002,140.6372151
2.832,-1.433967217,139.6888303
2.836,-1.434275147,138.7053843
2.84,-1.434557549,137.6895763
2.844,-1.434837871,136.474269
2.848,-1.435134103,134.4663895
2.852,-1.435444233,132.3380957
2.856,-1.435745184,130.1553249
2.86,-1.436015124,127.8928055
2.864,-1.436246532,125.6780467
2.868,-1.436444257,123.5561991
2.872,-1.436617943,121.5253515
2.876,-1.436775853,119.4850814
2.88,-1.436921828,117.4435634
2.884,-1.437057799,115.350654
2.888,-1.437183058,113.3235953
2.892,-1.437295188,111.2853697
2.896,-1.4373932,109.2197077
2.9,-1.43747709,107.0814319
2.904,-1.43754671,104.8343354
2.908,-1.437600289,102.6043216
2.912,-1.437635094,100.3043549
2.916,-1.437649214,97.85016667
2.92,-1.437641042,95.22803468
2.924,-1.437609273,92.53463326
2.928,-1.437553262,89.77636458
2.932,-1.437472044,86.94880998
2.936,-1.437364297,84.04207164
2.94,-1.43722881,81.04571675
2.944,-1.437064491,78.00015154
2.948,-1.436870219,74.9320784
2.952,-1.436645094,71.83546911
2.956,-1.436387567,68.79651491
2.96,-1.436094836,65.86266612
2.964,-1.435763753,63.04144227
2.968,-1.435391522,60.34764139
2.972,-1.434976119,57.74472108
2.976,-1.434516611,55.17830097
2.98,-1.434011728,52.89553659
2.984,-1.433458913,51.00617874
2.988,-1.432856824,49.08225157
2.992,-1.43220563,47.12705176
2.996,-1.431505247,45.13968534
3,-1.430754741,43.14151857
3.004,-1.42995289,41.10865181
3.008,-1.429099537,38.97580167
3.012,-1.428194883,36.79113898
3.016,-1.427238392,34.55879964
3.02,-1.426229348,32.24722797
3.024,-1.425166972,29.86962538
3.028,-1.424050183,27.44082906
3.032,-1.422877371,24.97785111
3.036,-1.421646368,22.49916332
3.04,-1.420354616,20.02153207
3.044,-1.4189997,17.53573122
3.048,-1.417579499,15.05662342
3.052,-1.416091979,12.5922309
3.056,-1.415126916,-26.62462397
3.06,-1.41496891,-28.53874053
3.064,-1.415481139,-27.27291649
3.068,-1.416631415,-25.83640131
3.072,-1.418395621,-27.05093562
3.076,-1.420767984,-26.93274944
3.08,-1.423734565,-26.5457884
3.084,-1.427268174,-25.80808273
3.088,-1.431327362,-24.72114091
3.092,-1.435857019,-23.307836
3.096,-1.440790273,-21.23670774
3.1,-1.446055991,-19.55774411
3.104,-1.451600043,-19.16847282
3.108,-1.457389728,-18.56235524
3.112,-1.463401778,-18.20699379
3.116,-1.469619994,-17.89706399
3.12,-1.476030018,-17.60594756
3.124,-1.482618162,-17.32095432
3.128,-1.489370967,-17.03757636
3.132,-1.496275129,-16.75393693
3.136,-1.503317569,-16.47052367
3.14,-1.51048549,-16.18789179
3.144,-1.517766408,-15.90644975
3.148,-1.525148144,-15.62638394
3.152,-1.53261879,-15.34658554
3.156,-1.540166646,-15.06607234
3.16,-1.547780137,-14.7859493
3.164,-1.555447782,-14.505663
3.168,-1.563158185,-14.22490818
3.172,-1.570900032,-13.94339392
3.176,-1.578662095,-13.66083645
3.18,-1.586433224,-13.37682086
3.184,-1.594202352,-13.08827933
3.188,-1.601958479,-12.79558347
3.192,-1.60969064,-12.49857633
3.196,-1.617387866,-12.19644507
3.2,-1.625039159,-11.88867659
3.204,-1.63263349,-11.57513452
3.208,-1.64015981,-11.25591428
3.212,-1.647607084,-10.93143049
3.216,-1.654964305,-10.60202454
3.22,-1.662220518,-10.26803937
3.224,-1.669364837,-9.929777304
3.228,-1.676386452,-9.587467306
3.232,-1.683274626,-9.241282314
3.236,-1.690018686,-8.891335444
3.24,-1.696608002,-8.537582178
3.244,-1.703031957,-8.179675592
3.248,-1.70927993,-7.817478661
3.252,-1.71534127,-7.450899841
3.256,-1.721205292,-7.079971763
3.26,-1.726861271,-6.704790125
3.264,-1.732298433,-6.325441746
3.268,-1.737505951,-5.941941408
3.272,-1.742472929,-5.554155102
3.276,-1.747188395,-5.16187745
3.28,-1.751641269,-4.764879993
3.284,-1.755820357,-4.362958838
3.288,-1.759655906,-3.956069156
3.292,-1.763072103,-3.791840318
3.296,-1.76611983,-3.906854782
3.3,-1.768845584,-4.108905111
3.304,-1.771283807,-4.252054471
3.308,-1.773456536,-4.380052445
3.312,-1.77537779,-4.507323665
3.316,-1.77705684,-4.638800206
3.32,-1.778500189,-4.808049515
3.324,-1.779712008,-4.973971239
3.328,-1.780695349,-5.118010835
3.332,-1.781452964,-5.247837717
3.336,-1.781987393,-5.365131673
3.34,-1.782301002,-5.468458964
3.344,-1.78239599,-5.556154628
3.348,-1.782274415,-5.627162239
3.352,-1.781938148,-5.725124564
3.356,-1.781383953,-5.046891798
3.36,-1.78060211,-4.554566467
3.364,-1.779583872,-4.506945436
3.368,-1.778324957,-4.666744014
3.372,-1.776826172,-5.046342224
3.376,-1.775093764,-5.642269178
3.38,-1.773139424,-6.440353795
3.384,-1.770979969,-7.41460409
3.388,-1.76862748,-7.049293568
3.392,-1.766084743,-7.1031087
3.396,-1.763352819,-7.129372198
3.4,-1.760431864,-7.159117134
3.404,-1.75732169,-7.184616646
3.408,-1.754021963,-7.207888961
3.412,-1.750532281,-7.229134697
3.416,-1.746852195,-7.248748463
3.42,-1.742981218,-7.266728798
3.424,-1.738918818,-7.281767128
3.428,-1.734664417,-7.294697866
3.432,-1.730217407,-7.30775331
3.436,-1.725577156,-7.320676909
3.44,-1.720742993,-7.333287268
3.444,-1.715714208,-7.345065623
3.448,-1.710490045,-7.356042002
3.452,-1.705069704,-7.366058252
3.456,-1.699452336,-7.374973746
3.46,-1.693637035,-7.382689955
3.464,-1.687625545,-7.557680298
3.468,-1.681423938,-7.808445678
3.472,-1.675040082,-8.074939111
3.476,-1.66848232,-8.344174129
3.48,-1.661759166,-8.611986027
3.484,-1.654879215,-8.877424338
3.488,-1.647851127,-9.14036439
3.492,-1.640683635,-9.400881298
3.496,-1.633385541,-9.659067024
3.5,-1.625965729,-9.914988289
3.504,-1.618433166,-10.16868364
3.508,-1.610796912,-10.42010375
3.512,-1.60306612,-10.66928581
3.516,-1.595250041,-10.91621349
3.52,-1.587358031,-11.16089481
3.524,-1.579399554,-11.40334207
3.528,-1.571384186,-11.643574
3.532,-1.563321618,-11.88162569
3.536,-1.555221664,-12.11750351
3.54,-1.547094264,-12.35125394
3.544,-1.538949491,-12.58293914
3.548,-1.53079756,-12.81265091
3.552,-1.522648835,-13.04052089
3.556,-1.514513842,-13.26672155
3.56,-1.506403277,-13.49149
3.564,-1.498328023,-13.71506353
3.568,-1.490299159,-13.9376966
3.572,-1.48232797,-14.15962845
3.576,-1.474425953,-14.38106674
3.58,-1.466604818,-14.60219124
3.584,-1.45887649,-14.82316053
3.588,-1.451253106,-15.04412041
3.592,-1.443747014,-15.26521135
3.596,-1.436370769,-15.48657421
3.6,-1.429137124,-15.70835356
3.604,-1.422059031,-15.93069899
3.608,-1.415149628,-16.15376518
3.612,-1.408422233,-16.37771097
3.616,-1.401890338,-16.60269888
3.62,-1.395567595,-16.82889465
3.624,-1.389467807,-17.05646706
3.628,-1.383604916,-17.28558795
3.632,-1.377992987,-17.51643116
3.636,-1.372646197,-17.74917147
3.64,-1.367578811,-17.98398198
3.644,-1.362805169,-18.22103176
3.648,-1.358339659,-18.46048299
3.652,-1.353846844,1.447393841
3.656,-1.349896792,1.719513581
3.66,-1.34930749,1.727036957
3.664,-1.349969007,2.721999
3.668,-1.350553207,2.318105689
3.672,-1.350738323,3.551171546
3.676,-1.350610052,5.436153006
3.68,-1.350387,7.712610366
3.684,-1.350162685,10.24402562
3.688,-1.349952181,12.90690703
3.692,-1.349746008,15.68361091
3.696,-1.349536925,18.54448929
3.7,-1.349326006,21.41498591
3.704,-1.349119582,24.29399738
3.708,-1.348924738,27.13583991
3.712,-1.3487465,29.89236307
3.716,-1.348586928,32.54753922
3.72,-1.348445706,35.04922228
3.724,-1.348320944,37.40467339
3.728,-1.348209801,39.63727316
3.732,-1.348109227,41.78365897
3.736,-1.348016401,43.88627826
3.74,-1.347928805,45.98254611
3.744,-1.347844401,48.09817734
3.748,-1.347761808,50.25137512
3.752,-1.347680363,52.44350461
3.756,-1.347599967,54.67350948
3.76,-1.347520691,56.95002154
3.764,-1.347442849,59.24796046
3.768,-1.347366568,61.5917309
3.772,-1.34729161,63.98204386
3.776,-1.347217654,66.41612027
3.78,-1.347144456,68.88489075
3.784,-1.347071919,71.37410159
3.788,-1.34700007,73.87051255
3.792,-1.346929027,76.36061553
